date,da_nang_hotel,da_nang_travel,da_nang_flight,ba_na_hills,my_khe_beach,da_nang_hotel_en,da_nang_travel_en,danang_en,danang_hotel_en,danang_flight_en,vietnam_beach
2023-01-01,24,43,41,22,22,15,7,37,24,30,11
2023-01-08,22,37,40,13,17,15,6,36,24,26,10
2023-01-15,20,26,42,11,17,14,6,34,23,27,10
2023-01-22,28,53,78,21,11,13,5,33,22,23,9
2023-01-29,38,68,88,27,29,16,6,40,26,30,9
2023-02-05,43,85,79,34,40,18,4,45,37,37,9
2023-02-12,40,75,75,29,44,17,6,39,29,36,9
2023-02-19,40,70,78,33,39,17,6,40,32,31,9
2023-02-26,39,67,57,28,56,16,7,40,29,29,8
2023-03-05,37,65,57,23,46,16,6,39,26,30,9
2023-03-12,43,78,60,31,45,17,5,39,27,29,9
2023-03-19,46,80,67,36,60,16,5,38,31,36,10
2023-03-26,43,76,63,35,53,17,7,38,29,33,9
2023-04-02,45,85,68,35,59,17,5,39,34,32,9
2023-04-09,43,85,63,34,57,16,8,37,29,34,9
2023-04-16,41,86,69,43,59,16,5,36,27,38,9
2023-04-23,40,89,70,35,68,15,8,37,29,31,10
2023-04-30,45,88,69,39,64,16,7,38,30,39,10
2023-05-07,50,91,67,30,60,18,8,38,32,32,9
2023-05-14,51,86,75,37,62,17,9,37,33,27,9
2023-05-21,63,88,89,39,65,19,5,37,32,22,9
2023-05-28,71,87,83,39,70,21,6,40,35,28,9
2023-06-04,75,89,85,40,69,21,5,40,35,27,9
2023-06-11,79,100,92,36,81,21,5,41,36,30,9
2023-06-18,75,100,100,48,80,18,5,44,38,27,9
2023-06-25,77,96,97,44,66,22,5,41,39,40,9
2023-07-02,100,94,98,51,78,21,6,39,35,32,9
2023-07-09,76,88,85,32,62,22,3,40,34,28,9
2023-07-16,58,84,71,37,63,17,7,43,34,31,10
2023-07-23,53,74,69,44,58,18,5,43,33,28,10
2023-07-30,48,68,56,35,48,18,6,43,34,30,10
